generation,id,novelty,score,species,parent1,parent2
298,145476,5.103855213369529,0.7612366851302279,10,144996,144985
299,146022,13.080958179015393,0.7604128576494553,10,145635,145475
300,146890,3.022290546489635,0.7618643905657871,11,146396,146396
301,147029,9.535393976601112,0.7626918269980617,9,146524,146417
302,147406,11.067431680499997,0.7611933413002655,10,146959,146936
303,147916,4.6983373402257005,0.7615451843688316,9,147447,147447
304,148421,6.904846749082043,0.7618283454042681,9,147896,147881
305,148962,10.346011956005295,0.7605419248509685,10,148469,148556
306,149389,8.169459500910396,0.7581473241737954,9,148886,148890
307,149914,5.197495355276962,0.7613563220302227,9,148907,149332
308,150354,7.733026136366499,0.7609862531709088,9,149943,149945
309,150848,8.070671001040655,0.7609438737110746,9,150343,150342
310,151335,9.147529391744019,0.7613009398293743,9,150791,150838
311,152220,10.857445677635383,0.76120688745803,11,151704,151748
312,152352,14.768156688426116,0.7610764808216697,10,151836,151847
313,153196,10.547244794072725,0.7615146258099519,11,152666,131004
314,153266,8.727902821220773,0.7567390357517816,9,152739,152773
315,153726,8.190542565938312,0.7608818998443054,9,153260,153217
316,154208,10.813522484498362,0.7561298785251183,9,153720,153702
317,154738,11.027513163986383,0.7605737025973565,9,154239,154214
318,155160,5.13782695071582,0.7611761124685414,10,154722,154789
319,156084,5.5391903821014346,0.7617942887032015,11,155596,131004
320,156152,11.568923046270216,0.762117922447067,10,155720,155706
321,157076,12.200405029585644,0.7571592205303886,11,156584,154172
322,157208,19.383681384048753,0.7611270955148425,12,156788,156811
323,158077,23.13660007325168,0.758570601976144,11,157528,157568
324,158539,17.69691643289012,0.7620972775368723,11,158020,154172
325,158970,29.519378611905875,0.7387915077328194,11,131004,158567
326,159174,14.155679061485019,0.7603659007007558,14,158732,157733
327,159855,16.724695430898628,0.7568077961920205,12,158784,158280
328,160079,10.736379229153682,0.7553579494448011,13,159606,159633
329,160876,13.047234127341767,0.7571540534603921,12,160329,160234
330,161320,11.690673466543121,0.760721153212591,14,160886,160819
331,161850,11.411652772503395,0.7597240013256261,12,161330,161335
332,162437,12.23262642440518,0.7624868053000431,11,161927,161913
333,162558,16.294521345710706,0.7494020952950234,13,162053,162083
334,163310,11.909996517715662,0.7566793052824916,12,162884,162222
335,163541,16.088781798051063,0.7530005721426571,13,163101,163128
336,164225,16.416850734671335,0.7584170121708745,16,163175,163620
337,164510,8.305930681377852,0.7606711840313379,13,164069,164130
338,165386,18.75415309858625,0.7620404311218909,11,164883,164909
339,165827,10.648405840459246,0.7597863380326967,11,165392,165339
340,165977,5.624599314103219,0.7600848233428521,13,165519,164971
341,166797,14.295768997480572,0.7613163763963939,11,158018,166365
342,167138,14.433427917410437,0.7592802943740348,16,166636,166636
343,167362,10.941828701306928,0.7609364824239073,13,166897,166878
344,168268,7.759562201197104,0.7568299445612142,11,167817,167817
345,168409,7.824306563961112,0.7603392631072053,13,167392,167882
346,169135,8.96455198588714,0.7568229477558407,16,168587,168564
347,169338,13.300443891049452,0.7589729414234614,13,168877,168820
348,169812,15.167042169030651,0.7615580368852624,13,168814,169338
349,170695,8.322161478457515,0.7584758179951059,11,158018,170259
350,170884,10.573822660922872,0.7583088379352234,13,170356,170298
351,171718,13.703334188166396,0.759779189734833,11,171212,171233
352,172171,12.502673323247315,0.7602444900248301,11,171720,166828
353,172648,8.898777952464942,0.7612442861285601,11,172171,166828
354,173170,8.306659841848244,0.7623721201865308,11,172676,166828
355,173426,10.304859857193097,0.7622497422827479,12,172981,172954
356,174129,12.92636674924685,0.7618256969874269,11,173662,173609
357,174435,10.23181490465161,0.7614493276211138,12,174082,173491
358,175068,15.607385533564864,0.7617860639176884,11,174632,174632
359,175463,10.792084091778687,0.758930952623423,12,175039,175025
360,176071,10.806676956804118,0.7620601768673554,11,166828,175605
361,176548,10.891933278931708,0.761841348805266,11,176049,176045
362,177008,13.017357975769942,0.7619207345713873,11,176535,166828
363,177088,5.365179815892682,0.7616508454588873,13,176699,176699
364,177995,8.93397622505579,0.7626478949242522,11,177495,177544
365,178095,8.42428716119457,0.7601056296191115,13,177128,177657
366,178565,12.07130982763485,0.7556961657356888,13,177091,177679
367,179478,8.15163003769965,0.7622110116363109,11,178970,178970
368,179685,4.896659891078343,0.7606044199878462,13,179073,179137
369,180436,14.188109005894852,0.7608269970933766,11,179945,179958
370,180892,9.829581022562568,0.7590053152262849,16,180239,180288
371,181039,8.813038663403054,0.7541174441882325,13,180072,180490
372,181903,9.627998628188543,0.7605717263009462,11,158018,181377
373,182277,13.933968782455107,0.7582368959482404,15,181731,181731
374,182890,10.030842482015782,0.7599995054118244,11,166828,158018
375,182971,13.99950870247334,0.7624957282232891,18,182551,182427
376,183409,19.321740024691312,0.7453522534354257,18,182962,182956
377,184314,13.416377143958037,0.7602598444142726,11,166828,166828
